Model,OverallAccuracy,Paradigm_agreement_subject_verb-across_relative_clause.txt,Paradigm_ellipsis-n_bar.txt,Paradigm_island-effects-coordinate_structure_constraint.txt,Paradigm_agreement_subject_verb-across_prepositional_phrase.txt,Paradigm_filler-gap-wh_question_subject.txt,Paradigm_case-subjective_pronoun.txt,Paradigm_agreement_subject_verb-in_simple_question.txt,Paradigm_quantifiers-superlative.txt,Paradigm_local_attractor-in_question_with_aux.txt,Paradigm_filler-gap-wh_question_object.txt,Paradigm_npi_licensing-only_npi_licensor.txt,Paradigm_argument_structure-transitive.txt,Paradigm_anaphor_agreement-pronoun_gender.txt,Paradigm_npi_licensing-matrix_question.txt,Paradigm_island-effects-adjunct_island.txt,Paradigm_argument_structure-swapped_arguments.txt,Paradigm_agreement_subject_verb-in_question_with_aux.txt,Paradigm_agreement_determiner_noun-across_1_adjective.txt,Paradigm_binding-principle_a.txt,Paradigm_quantifiers-existential_there.txt,Paradigm_argument_structure-dropped_argument.txt,Paradigm_irregular-verb.txt,Paradigm_agreement_determiner_noun-between_neighbors.txt
Blue,0.6248478260869565,0.5655,0.42,0.568,0.549,0.8095,0.919,0.5625,0.3695,0.548,0.6915,0.6515,0.597,0.562,0.6105,0.5535,0.9675,0.646,0.587,0.621,0.6515,0.7615,0.613,0.547
SemSim,0.6467608695652174,0.5805,0.4925,0.5435,0.537,0.855,0.712,0.5585,0.475,0.452,0.825,0.9685,0.609,0.6365,0.518,0.661,0.77,0.642,0.6335,0.7135,0.704,0.8385,0.605,0.545
Score,0.6517826086956521,0.574,0.3855,0.7675,0.549,0.686,0.9065,0.6145,0.4225,0.5725,0.552,0.664,0.606,0.561,0.556,0.6335,0.9535,0.7055,0.672,0.7915,0.7975,0.8285,0.5965,0.5955
Uncertainty,0.6368913043478261,0.552,0.4035,0.6135,0.5625,0.741,0.818,0.6265,0.5145,0.5575,0.592,0.6325,0.6295,0.557,0.5595,0.635,0.8855,0.683,0.6465,0.712,0.7445,0.8435,0.567,0.572
llamalogue-main,0.6546956521739132,0.5765,0.435,0.6875,0.547,0.739,0.9065,0.6345,0.477,0.5545,0.6915,0.635,0.597,0.5715,0.5275,0.6155,0.9435,0.6865,0.6575,0.758,0.7935,0.836,0.602,0.5855
llamalogue-chck_100M,0.6546956521739132,0.5765,0.435,0.6875,0.547,0.739,0.9065,0.6345,0.477,0.5545,0.6915,0.635,0.597,0.5715,0.5275,0.6155,0.9435,0.6865,0.6575,0.758,0.7935,0.836,0.602,0.5855
llamalogue-chck_90M,0.6562173913043479,0.5795,0.432,0.685,0.548,0.7435,0.912,0.63,0.4845,0.5575,0.684,0.634,0.6,0.576,0.528,0.6225,0.9465,0.6915,0.6635,0.7615,0.7945,0.8375,0.6005,0.581
llamalogue-chck_80M,0.6619347826086956,0.581,0.4245,0.692,0.5425,0.7495,0.932,0.6395,0.452,0.56,0.709,0.6245,0.6095,0.5775,0.5565,0.6205,0.951,0.702,0.6695,0.7865,0.8015,0.8315,0.628,0.584
llamalogue-chck_70M,0.6645652173913045,0.5865,0.43,0.7155,0.5505,0.766,0.9475,0.6415,0.417,0.5505,0.733,0.54,0.615,0.579,0.5535,0.6415,0.9665,0.695,0.668,0.7605,0.8245,0.8405,0.665,0.598
llamalogue-chck_60M,0.6708478260869566,0.5815,0.435,0.735,0.5675,0.7815,0.939,0.625,0.42,0.5755,0.746,0.551,0.6175,0.5935,0.5705,0.651,0.9445,0.707,0.699,0.7675,0.8155,0.826,0.678,0.6025
llamalogue-chck_50M,0.6933043478260869,0.613,0.4265,0.712,0.579,0.8905,0.993,0.652,0.4585,0.5805,0.7085,0.654,0.6235,0.631,0.6395,0.622,0.982,0.7305,0.6735,0.7955,0.824,0.8415,0.715,0.6005
llamalogue-chck_40M,0.6872391304347826,0.596,0.394,0.7405,0.5645,0.8225,0.986,0.6405,0.4565,0.5755,0.8065,0.6295,0.581,0.637,0.54,0.638,0.974,0.733,0.6845,0.7715,0.875,0.8435,0.7175,0.5995
llamalogue-chck_30M,0.7163913043478259,0.6025,0.382,0.8,0.5735,0.897,0.986,0.6505,0.444,0.6,0.8595,0.7075,0.649,0.702,0.6235,0.6195,0.984,0.7655,0.736,0.7755,0.901,0.8315,0.7305,0.6565
llamalogue-chck_20M,0.7091956521739131,0.606,0.4285,0.758,0.5645,0.9685,0.8965,0.6525,0.49,0.458,0.826,0.907,0.615,0.6085,0.534,0.63,0.9025,0.7535,0.7115,0.824,0.9195,0.8545,0.7505,0.6525
llamalogue-chck_10M,0.6730434782608696,0.552,0.3785,0.7755,0.546,0.988,0.8455,0.612,0.502,0.499,0.836,0.765,0.6485,0.6985,0.406,0.506,0.869,0.754,0.698,0.596,0.8915,0.801,0.6935,0.6185
llamalogue-chck_9M,0.6881086956521739,0.6025,0.4595,0.8315,0.5385,0.985,0.9305,0.6285,0.5075,0.5125,0.896,0.51,0.666,0.6225,0.372,0.54,0.936,0.8015,0.712,0.7915,0.7425,0.8625,0.791,0.587
llamalogue-chck_8M,0.6867391304347826,0.609,0.449,0.816,0.5395,0.989,0.951,0.6225,0.5075,0.4615,0.893,0.509,0.6565,0.63,0.359,0.549,0.9505,0.7895,0.7135,0.7855,0.766,0.8565,0.787,0.605
llamalogue-chck_7M,0.6908260869565216,0.61,0.5135,0.7815,0.537,0.9865,0.9105,0.605,0.5025,0.4945,0.882,0.6595,0.675,0.6105,0.3285,0.58,0.9275,0.795,0.7165,0.7295,0.79,0.869,0.7945,0.5905
llamalogue-chck_6M,0.6846304347826087,0.5975,0.432,0.747,0.5595,0.9915,0.9675,0.604,0.5145,0.408,0.86,0.5695,0.6695,0.6015,0.4675,0.631,0.955,0.7355,0.7165,0.7685,0.6785,0.893,0.792,0.587
llamalogue-chck_5M,0.6794347826086957,0.5635,0.5585,0.831,0.55,0.996,0.922,0.5735,0.5125,0.47,0.8975,0.658,0.645,0.6125,0.3515,0.4765,0.925,0.726,0.7,0.707,0.7865,0.8415,0.7685,0.5545
llamalogue-chck_4M,0.6814565217391305,0.557,0.508,0.7555,0.5475,0.972,0.889,0.597,0.5095,0.545,0.9515,0.702,0.653,0.5635,0.38,0.647,0.9195,0.6785,0.6855,0.696,0.7985,0.839,0.7665,0.5125
llamalogue-chck_3M,0.6688260869565218,0.5565,0.617,0.5705,0.528,0.967,0.9985,0.5425,0.5065,0.6285,0.9675,0.6895,0.66,0.5515,0.3455,0.6035,0.9965,0.6255,0.665,0.601,0.6475,0.818,0.756,0.541
llamalogue-chck_2M,0.6385652173913042,0.577,0.4755,0.5325,0.5505,0.9315,0.9945,0.5565,0.509,0.525,0.8565,0.5215,0.6275,0.5585,0.3945,0.626,0.995,0.663,0.6315,0.4515,0.5945,0.846,0.7275,0.5415
llamalogue-chck_1M,0.591586956521739,0.512,0.4635,0.3785,0.525,0.904,0.965,0.527,0.5045,0.359,0.6335,0.5015,0.6415,0.535,0.4745,0.5815,0.983,0.634,0.6015,0.463,0.6225,0.6115,0.703,0.482
